x_m,y_m,yaw_rad,duration_s
0,0,-0.081125841,6
-1.0658,-0.4193,-0.548635968,6
0.8348,-0.3375,-0.519930379,6
-0.9747,-0.5573,-1.204298317,6
0.9564,-0.3213,-1.39257007,6
-1.0694,0.4759,-1.644461744,6
0.7773,-0.1885,-1.755455826,6
-0.9114,-0.4767,-0.99318719,6
0.7466,-0.1429,-1.685413766,6
-1.0929,0.295,-1.121469246,6
0.9193,-0.0506,-0.942119257,6
-1.0401,-0.3226,-0.673484608,6
0.9159,0.4165,-1.427504389,6
-1.0804,0.405,-0.766943994,6
0.9902,-0.5684,-0.824315184,6
-0.9669,-0.0306,-1.327440276,6
0.9594,-0.3613,-0.619662204,6
-1.0944,0.0279,-0.516928602,6
0.806,0.5235,-0.689038867,6
-1.0728,0.0004,-1.032387156,6
0.7702,-0.29,-0.565363327,6
