x_m,y_m,yaw_rad,duration_s
0.0,0.0,-2.8751363860323043,6.0
-0.9351,-0.4282,-2.9536389507320413,6.0
0.9063,0.4197,-3.0798990320843855,6.0
-0.9559,-0.5853,-2.413226395151912,6.0
0.7395,0.0847,-2.0229200536677396,6.0
-0.9351,0.1456,-1.5421472293690288,6.0
0.9246,0.3885,-0.9522041250437194,6.0
-1.1133,0.3018,-1.211408297496047,6.0
0.9075,0.0822,-0.8401435414822718,6.0
-1.0559,-0.502,-0.17484859748796033,6.0
0.9846,-0.1912,0.21919406788712248,6.0
-0.9191,-0.3406,0.3581599269964708,6.0
0.8697,0.4532,0.9189779928515556,6.0
-1.1447,-0.3026,0.9372882329028185,6.0
0.7811,-0.1332,0.4247073729946109,6.0
-1.0993,0.4485,0.36866083207788236,6.0
0.9372,0.1395,1.043576179868137,6.0
-0.9156,-0.5034,0.7381552929420749,6.0
0.7048,-0.1088,0.4360682668844622,6.0
-0.9931,0.4744,0.9663035098896549,6.0
0.9192,-0.4145,1.5442997799660088,6.0
