x_m,y_m,yaw_rad,duration_s
0.0,0.0,1.3564900840679215,6.0
-1.1289,0.4249,1.4495162528029955,6.0
0.7848,-0.3504,1.167502796890128,6.0
-0.9653,-0.1517,0.807887079889599,6.0
0.7098,0.5988,0.7956890143461521,6.0
-1.134,0.0354,1.1055713931735216,6.0
0.8792,-0.3314,1.2616001249852058,6.0
-1.011,0.4329,1.9138677277221818,6.0
0.9213,0.5399,2.0827121113073837,6.0
-1.1012,0.0688,2.7346822447426486,6.0
0.9621,-0.2926,-3.0906344281160374,6.0
-1.0535,-0.1702,2.9435647890367873,6.0
0.748,0.0105,2.19722192661337,6.0
-0.9272,-0.0412,2.459756931823243,6.0
0.9732,0.559,-3.1221040975438923,6.0
-1.0527,-0.0038,3.1406269210240856,6.0
0.928,-0.3725,2.6577480089651964,6.0
-1.1211,0.1182,2.2839799810112975,6.0
0.9727,-0.1105,1.5626206433117815,6.0
-1.012,0.4173,1.6179036990514417,6.0
0.8896,0.4562,1.1866103352995498,6.0
