x_m,y_m,yaw_rad,duration_s
0.0,0.0,3.0183814880088855,6.0
-1.0278,0.1465,-2.65818215089939,6.0
0.7117,0.1159,-2.66873308126526,6.0
-1.022,0.0289,3.051328995943283,6.0
0.9138,-0.0967,2.4941198808801808,6.0
-1.0592,0.5073,1.9826736834671967,6.0
0.8781,-0.2418,1.9415749070653412,6.0
-1.0668,-0.2501,2.029435970909219,6.0
0.9645,0.3448,1.3946900647971905,6.0
-1.067,0.4766,1.6049127244380088,6.0
0.8909,0.2949,2.2140941044806643,6.0
-1.0991,-0.2072,2.480028228018708,6.0
0.9,-0.3648,3.140926465857209,6.0
-0.9598,0.3628,-2.56659151652185,6.0
0.7805,-0.1197,-1.8340918865725417,6.0
-1.0588,-0.4087,-2.050497938373347,6.0
0.8099,-0.131,-1.5951417902832645,6.0
-0.9475,0.0282,-1.864433578768319,6.0
0.7937,-0.3595,-1.5340132298265807,6.0
-1.0682,-0.531,-2.28987832097738,6.0
0.7592,-0.1586,-1.5126303935249341,6.0
