x_m,y_m,yaw_rad,duration_s
0.0,0.0,0.5021407892085139,7.5
-1.1226,-0.1935,-0.9607619719608333,7.5
0.781,0.556,-0.055888892827089975,7.5
-0.9614,0.5821,1.1330746531466733,7.5
0.9886,-0.2374,-0.2000264440872921,7.5
-1.1313,0.4522,-1.487293452083359,7.5
0.8287,0.4679,-0.3349834784620791,7.5
-1.0527,0.1412,1.0436701352564866,7.5
0.8097,0.3421,-0.49826288305222644,7.5
-1.0592,-0.4976,-1.5796594611207435,7.5
0.7282,0.3954,-2.6394640059677505,7.5
-0.9986,0.5149,-1.4155883744068396,7.5
0.8667,-0.4407,-2.729121606948671,7.5
-0.9802,-0.1427,2.1808170886466787,7.5
0.7785,0.1226,3.0178847337745864,7.5
-1.0046,0.4607,1.7085071319027278,7.5
0.8353,0.4339,3.1318938854088776,7.5
-1.1197,0.1338,1.91623479627774,7.5
0.7381,-0.3906,0.37671706935666815,7.5
-0.9567,-0.1245,-0.9770374403476301,7.5
0.8815,0.4375,-2.0597295009009446,7.5
