x_m,y_m,yaw_rad,duration_s
0.0,0.0,0.19589434947377704,7.5
-1.1333,-0.1013,1.6285744068275951,7.5
0.9803,-0.2505,2.732841006712402,7.5
-0.9391,-0.0447,-2.2967836412128655,7.5
0.9636,-0.433,2.723642500733197,7.5
-0.9262,0.1355,1.3374719743893442,7.5
0.8143,0.3642,0.39940429567928604,7.5
-0.9823,0.4264,1.6150840770021633,7.5
0.9833,0.3123,2.9359861580387836,7.5
-1.1138,-0.4967,-2.1881991378567545,7.5
0.902,0.2608,-0.9386096082228059,7.5
-1.0869,0.0965,0.5440530123747269,7.5
0.7221,-0.5777,1.8562911392044565,7.5
-0.9263,0.419,2.972257632900818,7.5
0.7907,-0.5587,2.0646278698903746,7.5
-1.1212,0.2099,0.663856266089776,7.5
0.8614,-0.2894,-0.8103381566469685,7.5
-1.0154,0.5464,0.4789809793771864,7.5
0.8974,0.0073,-1.0326285151493861,7.5
-0.9768,0.462,0.16802452532662482,7.5
0.8995,0.5173,1.6860813458789217,7.5
