x_m,y_m,yaw_rad,duration_s
0,0,-1.101561921,6
-0.9063,-0.0563,-1.600730612,6
0.8198,-0.1879,-2.067033287,6
-0.9597,-0.58,-1.520399681,6
0.8617,-0.4951,-1.663253327,6
-1.0783,0.3104,-2.373353374,6
0.9331,0.4052,-1.984561638,6
-1.0828,-0.1464,-1.863650292,6
0.8904,-0.1649,-2.302358048,6
-0.9978,0.5758,-2.221693588,6
0.8296,-0.0666,-1.75988338,6
-1.0644,-0.0136,-2.288705545,6
0.8863,0.1468,-2.966136722,6
-1.0518,-0.5323,-2.342291427,6
0.9591,-0.4624,-2.538076394,6
-0.9911,0.5623,-2.628391821,6
0.9918,0.2252,-2.642735972,6
-1.0201,-0.2735,-2.33940975,6
0.9505,0.4803,-2.369526488,6
-0.9157,0.2753,-1.905042569,6
0.717,0.3011,-1.258603626,6
